주문번호,제품명,카테고리,수량,단가,주문일자,고객ID,지역,비고
ORD0001,조립 키트,반제품,68.0,11749.56,2025-10-10,CUST029,부산,
ORD0002,커넥터-소형,원자재,43.0,3587.05,2025-10-10,CUST005,서울,긴급
ORD0003,볼트 M6,원자재,7.0,10960.33,2025-10-15,CUST006,서울,재고부족
ORD0004,볼트 M6,부품,65.0,10289.89,2025-09-10,CUST015,창원,재고부족
ORD0005,하우징 S,부품,73.0,4610.97,2025-09-02,CUST001,서울,
ORD0006,하우징 S,부품,,3679.92,2025-09-01,CUST008,울산,
ORD0007,볼트 M6,부품,36.0,6793.2,2025-09-28,CUST034,광주,반품예정
ORD0008,너트 M6,부품,58.0,10923.87,2025-09-30,CUST018,울산,
ORD0009,브래킷 A,부품,22.0,8055.18,2025-09-12,CUST017,인천,
ORD0010,클램프 20,반제품,68.0,8505.85,2025-09-21,CUST016,광주,
ORD0011,조립 키트,부품,91.0,11597.17,2025-10-14,CUST024,수원,
ORD0012,브래킷 A,반제품,77.0,4050.44,2025-09-09,CUST007,수원,
ORD0013,하우징 S,부품,112.0,3954.82,2025-10-12,CUST030,대구,
ORD0014,패킹 A,부품,,1765.06,2025-10-05,CUST030,창원,
ORD0015,지그 핀,원자재,55.0,4937.89,2025-10-11,CUST029,창원,재고부족
ORD0016,하우징 S,원자재,92.0,7868.98,2025-09-12,CUST007,서울,재고부족
ORD0017,커넥터-소형,원자재,56.0,9245.92,2025-09-13,CUST008,수원,샘플
ORD0018,와셔 6mm,반제품,9999.0,11330.81,2025-10-06,CUST014,서울,
ORD0019,너트 M6,반제품,117.0,7110.92,2025-10-12,CUST033,대구,
ORD0020,하우징 S,부품,10.0,6509.8,2025-09-22,CUST002,울산,
